date,region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,sample_weight,cell,distance_km,location_id,mushroom_score,black_chant_score,parasol_score,morel_score,st_george_score,chant_score
2026-06-01,NE,61.40175,12.8865,,6355021337,HUMAN_OBSERVATION,10.0,2.655,340:43,3.1025628014128643,Vatkolssatern_61.380_12.850,5.97,2.86,6.45,5.64,6.98,3.02
2026-06-01,NE,58.60848,16.27158,,6355022463,HUMAN_OBSERVATION,100.0,2.655,325:54,2.085558205488449,Norrkoping_58.620_16.300,6.9,2.76,7.77,5.15,6.4,3.31
2026-06-01,NE,59.87543,13.36872,,6355026391,HUMAN_OBSERVATION,10.0,2.655,332:44,0.6172827904162719,Alvsatern_59.880_13.375,5.91,2.2,6.58,4.5,5.81,2.93
2026-06-01,NE,59.1603,16.71504,,6355034373,HUMAN_OBSERVATION,25.0,2.655,328:55,1.9931062619769735,Hosjo_59.160_16.750,6.8,2.84,7.75,5.29,6.57,3.27
2026-06-01,NE,63.19692,15.72782,,6355037352,HUMAN_OBSERVATION,5.0,2.655,350:52,2.3423635845039463,Stranaset_63.180_15.700,6.35,2.86,7.15,6.76,7.76,3.06
2026-06-01,NE,63.33434,13.94359,,6355047451,HUMAN_OBSERVATION,4.0,2.655,351:46,3.2551184549822247,Rodningsberg_63.360_13.975,6.0,2.8,5.99,5.8,7.3,3.05
2026-06-01,NE,58.20755,15.9341,,6355050376,HUMAN_OBSERVATION,100.0,2.655,323:53,0.994512369365977,Ramshult_58.200_15.925,6.63,2.55,7.67,5.51,6.22,3.15
2026-06-01,NE,58.42894,16.66688,,6355053301,HUMAN_OBSERVATION,20.0,2.655,324:55,4.9920769780334995,Tangtorp_58.440_16.750,6.89,2.71,7.75,5.08,6.35,3.28
2026-06-01,NE,57.66898,11.9501,,6355060407,HUMAN_OBSERVATION,150.0,2.655,320:39,0.9985495330752947,Goteborg_57.660_11.950,6.83,2.55,6.76,5.27,6.69,3.47
2026-06-01,NE,61.14606,13.28098,,6355062406,HUMAN_OBSERVATION,10.0,2.655,339:44,1.223081386848454,Langstrand_61.140_13.300,6.3,3.01,7.06,6.58,7.35,3.14
2026-06-01,NE,55.79446,13.49641,,6355071450,HUMAN_OBSERVATION,10.0,2.655,309:45,1.8902250290384892,Eslöv_55.800_13.525,8.11,3.02,7.99,6.19,7.73,4.04
2026-06-01,NE,58.65101,13.52236,,6355080390,HUMAN_OBSERVATION,50.0,2.655,325:45,3.227158096674355,Mariestad_58.680_13.525,5.37,2.14,5.86,5.23,5.88,2.61
2026-06-01,NE,59.29968,14.89289,,6355102387,HUMAN_OBSERVATION,10.0,2.655,329:49,2.4126388580334392,Orebro_59.280_14.875,6.96,2.84,7.67,5.52,6.82,3.48
2026-06-01,NE,58.85968,17.83085,,6355105350,HUMAN_OBSERVATION,5.0,2.655,326:59,7.170895894140724,Nynashamn_58.920_17.875,7.29,3.43,7.4,6.62,8.02,3.68
2026-06-01,NE,63.24627,15.25725,,6355126439,HUMAN_OBSERVATION,10.0,2.655,351:50,0.7860047174132366,Midskog_63.240_15.250,6.15,2.93,6.44,6.93,7.88,3.04
2026-06-01,NE,55.71284,13.26608,,6355127417,HUMAN_OBSERVATION,10.0,2.655,309:44,3.692191374660723,Lund_55.740_13.300,8.11,3.02,7.99,6.19,7.73,4.04
2026-06-01,NE,57.75479,14.14946,,6355153456,HUMAN_OBSERVATION,50.0,2.655,320:47,3.1563353045694464,Jonkoping_57.780_14.125,6.05,2.12,6.35,4.31,5.58,2.99
2026-06-01,NE,63.38633,13.0589,,6355162349,HUMAN_OBSERVATION,25.0,2.655,351:43,3.0357166814457894,Vikbole_63.360_13.075,5.18,2.92,4.97,5.68,6.56,2.77
2026-06-01,NE,58.28563,16.2688,,6355168462,HUMAN_OBSERVATION,10.0,2.655,323:54,3.383870422490757,Langserum_58.260_16.300,6.6,2.53,7.6,5.48,6.18,3.13
2026-06-01,NE,63.5919,13.03131,,6355201383,HUMAN_OBSERVATION,20.0,2.655,352:43,1.7911526243373834,Skagen_63.600_13.000,5.19,2.89,5.08,6.37,6.81,2.77
