Date,Latitude,Longitude
2025-12-31,37.18,28.225
2025-12-31,37.18,28.15
2025-12-31,39.1,31.375
2025-12-31,39.1,31.45
2025-12-31,40.48,39.775
2025-12-31,46.18,23.95
2025-12-31,40.18,30.1
2025-12-31,40.24,29.95
2025-12-31,40.24,30.025
2025-12-31,40.24,30.1
2025-12-31,40.24,30.175
2025-12-31,40.24,30.25
2025-12-31,40.3,30.025
2025-12-31,40.3,30.1
2025-12-31,40.18,30.175
2025-12-31,39.88,34.45
2025-12-31,49.3,16.45
2025-12-31,48.76,14.275
2025-12-31,48.76,14.35
2025-12-31,48.82,14.2
2025-12-31,41.2,20.5
2025-12-31,41.2,20.575
2025-12-31,41.26,20.5
2025-12-31,49.24,16.45
2025-12-31,49.3,16.375
2025-12-31,40.3,30.175
2025-12-31,41.02,35.35
2025-12-31,41.02,35.425
2025-12-31,41.02,35.5
2025-12-31,41.2,35.65
2025-12-31,41.26,35.275
2025-12-31,41.26,35.35
2025-12-31,41.26,35.425
2025-12-31,41.26,35.5
2025-12-31,41.26,35.575
2025-12-31,41.32,35.425
2025-12-31,41.32,35.5
2025-12-31,46.0,22.525
2025-12-31,47.92,25.675
2025-12-31,45.58,21.85
2025-12-31,41.2,35.575
2025-12-31,41.2,35.5
2025-12-31,41.08,35.275
2025-12-31,41.08,35.35
2025-12-31,41.08,35.425
2025-12-31,41.08,35.5
2025-12-31,41.08,35.575
2025-12-31,41.14,35.275
2025-12-31,41.14,35.35
2025-12-31,41.14,35.425
2025-12-31,41.14,35.5
2025-12-31,41.14,35.575
2025-12-31,41.14,35.65
2025-12-31,41.2,35.275
2025-12-31,41.2,35.35
2025-12-31,41.2,35.425
2025-12-31,47.86,20.275
2025-12-31,47.62,18.4
2025-12-31,42.64,19.525
2025-12-31,49.12,14.575
2025-12-31,49.12,14.65
2025-12-31,49.12,14.725
2025-12-31,49.12,14.8
2025-12-31,49.18,14.575
2025-12-31,49.18,14.65
2025-12-31,49.18,14.725
2025-12-31,47.86,20.2
2025-12-31,45.58,21.625
